2	20.3411	20.3411	(-4.27721,-1.43058,)	(-4.27721,-1.43058,)	(-4.27721,-1.43058,)
3	44.4189	44.4189	(-5.46297,3.8177,)	(-5.46297,3.8177,)	(-5.46297,3.8177,)
98	31.7091	31.7091	(-2.02247,5.25535,)	(-2.02247,5.25535,)	(-2.02247,5.25535,)
99	33.8461	33.8461	(-5.18288,-2.64269,)	(-5.18288,-2.64269,)	(-5.18288,-2.64269,)
100	65.604	65.604	(-3.13088,7.47005,)	(-3.13088,7.47005,)	(-3.13088,7.47005,)
1	33.58	33.58	(3.92938,4.25911,)	(3.92938,4.25911,)	(3.92938,4.25911,)
2	20.3411	20.3411	(-4.27721,-1.43058,)	(-4.27721,-1.43058,)	(-4.27721,-1.43058,)
3	44.4189	44.4189	(-5.46297,3.8177,)	(-5.46297,3.8177,)	(-5.46297,3.8177,)
98	31.7091	31.7091	(-2.02247,5.25535,)	(-2.02247,5.25535,)	(-2.02247,5.25535,)
99	33.8461	33.8461	(-5.18288,-2.64269,)	(-5.18288,-2.64269,)	(-5.18288,-2.64269,)
100	65.604	65.604	(-3.13088,7.47005,)	(-3.13088,7.47005,)	(-3.13088,7.47005,)
1	33.58	33.58	(3.92938,4.25911,)	(3.92938,4.25911,)	(3.92938,4.25911,)
2	20.3411	20.3411	(-4.27721,-1.43058,)	(-4.27721,-1.43058,)	(-4.27721,-1.43058,)
3	44.4189	44.4189	(-5.46297,3.8177,)	(-5.46297,3.8177,)	(-5.46297,3.8177,)
98	31.7091	31.7091	(-2.02247,5.25535,)	(-2.02247,5.25535,)	(-2.02247,5.25535,)
99	33.8461	33.8461	(-5.18288,-2.64269,)	(-5.18288,-2.64269,)	(-5.18288,-2.64269,)
100	65.604	65.604	(-3.13088,7.47005,)	(-3.13088,7.47005,)	(-3.13088,7.47005,)
1	33.58	33.58	(3.92938,4.25911,)	(3.92938,4.25911,)	(3.92938,4.25911,)
2	20.3411	20.3411	(-4.27721,-1.43058,)	(-4.27721,-1.43058,)	(-4.27721,-1.43058,)
3	44.4189	44.4189	(-5.46297,3.8177,)	(-5.46297,3.8177,)	(-5.46297,3.8177,)
98	31.7091	31.7091	(-2.02247,5.25535,)	(-2.02247,5.25535,)	(-2.02247,5.25535,)
99	33.8461	33.8461	(-5.18288,-2.64269,)	(-5.18288,-2.64269,)	(-5.18288,-2.64269,)
100	65.604	65.604	(-3.13088,7.47005,)	(-3.13088,7.47005,)	(-3.13088,7.47005,)
1	33.58	33.58	(3.92938,4.25911,)	(3.92938,4.25911,)	(3.92938,4.25911,)
2	20.3411	20.3411	(-4.27721,-1.43058,)	(-4.27721,-1.43058,)	(-4.27721,-1.43058,)
3	44.4189	44.4189	(-5.46297,3.8177,)	(-5.46297,3.8177,)	(-5.46297,3.8177,)
98	31.7091	31.7091	(-2.02247,5.25535,)	(-2.02247,5.25535,)	(-2.02247,5.25535,)
99	33.8461	33.8461	(-5.18288,-2.64269,)	(-5.18288,-2.64269,)	(-5.18288,-2.64269,)
100	65.604	65.604	(-3.13088,7.47005,)	(-3.13088,7.47005,)	(-3.13088,7.47005,)
1	33.58	33.58	(3.92938,4.25911,)	(3.92938,4.25911,)	(3.92938,4.25911,)
2	20.3411	20.3411	(-4.27721,-1.43058,)	(-4.27721,-1.43058,)	(-4.27721,-1.43058,)
3	44.4189	44.4189	(-5.46297,3.8177,)	(-5.46297,3.8177,)	(-5.46297,3.8177,)
98	31.7091	31.7091	(-2.02247,5.25535,)	(-2.02247,5.25535,)	(-2.02247,5.25535,)
99	33.8461	33.8461	(-5.18288,-2.64269,)	(-5.18288,-2.64269,)	(-5.18288,-2.64269,)
100	65.604	65.604	(-3.13088,7.47005,)	(-3.13088,7.47005,)	(-3.13088,7.47005,)
1	33.58	33.58	(3.92938,4.25911,)	(3.92938,4.25911,)	(3.92938,4.25911,)
2	20.3411	20.3411	(-4.27721,-1.43058,)	(-4.27721,-1.43058,)	(-4.27721,-1.43058,)
3	44.4189	44.4189	(-5.46297,3.8177,)	(-5.46297,3.8177,)	(-5.46297,3.8177,)
98	31.7091	31.7091	(-2.02247,5.25535,)	(-2.02247,5.25535,)	(-2.02247,5.25535,)
99	33.8461	33.8461	(-5.18288,-2.64269,)	(-5.18288,-2.64269,)	(-5.18288,-2.64269,)
100	65.604	65.604	(-3.13088,7.47005,)	(-3.13088,7.47005,)	(-3.13088,7.47005,)
1	33.58	33.58	(3.92938,4.25911,)	(3.92938,4.25911,)	(3.92938,4.25911,)
2	20.3411	20.3411	(-4.27721,-1.43058,)	(-4.27721,-1.43058,)	(-4.27721,-1.43058,)
3	44.4189	44.4189	(-5.46297,3.8177,)	(-5.46297,3.8177,)	(-5.46297,3.8177,)
98	31.7091	31.7091	(-2.02247,5.25535,)	(-2.02247,5.25535,)	(-2.02247,5.25535,)
99	33.8461	33.8461	(-5.18288,-2.64269,)	(-5.18288,-2.64269,)	(-5.18288,-2.64269,)
100	65.604	65.604	(-3.13088,7.47005,)	(-3.13088,7.47005,)	(-3.13088,7.47005,)
1	33.58	33.58	(3.92938,4.25911,)	(3.92938,4.25911,)	(3.92938,4.25911,)
2	20.3411	20.3411	(-4.27721,-1.43058,)	(-4.27721,-1.43058,)	(-4.27721,-1.43058,)
3	44.4189	44.4189	(-5.46297,3.8177,)	(-5.46297,3.8177,)	(-5.46297,3.8177,)
98	31.7091	31.7091	(-2.02247,5.25535,)	(-2.02247,5.25535,)	(-2.02247,5.25535,)
99	33.8461	33.8461	(-5.18288,-2.64269,)	(-5.18288,-2.64269,)	(-5.18288,-2.64269,)
100	65.604	65.604	(-3.13088,7.47005,)	(-3.13088,7.47005,)	(-3.13088,7.47005,)
1	33.58	33.58	(3.92938,4.25911,)	(3.92938,4.25911,)	(3.92938,4.25911,)
2	20.3411	20.3411	(-4.27721,-1.43058,)	(-4.27721,-1.43058,)	(-4.27721,-1.43058,)
3	44.4189	44.4189	(-5.46297,3.8177,)	(-5.46297,3.8177,)	(-5.46297,3.8177,)
98	31.7091	31.7091	(-2.02247,5.25535,)	(-2.02247,5.25535,)	(-2.02247,5.25535,)
99	33.8461	33.8461	(-5.18288,-2.64269,)	(-5.18288,-2.64269,)	(-5.18288,-2.64269,)
100	65.604	65.604	(-3.13088,7.47005,)	(-3.13088,7.47005,)	(-3.13088,7.47005,)
1	33.58	33.58	(3.92938,4.25911,)	(3.92938,4.25911,)	(3.92938,4.25911,)
2	20.3411	20.3411	(-4.27721,-1.43058,)	(-4.27721,-1.43058,)	(-4.27721,-1.43058,)
3	44.4189	44.4189	(-5.46297,3.8177,)	(-5.46297,3.8177,)	(-5.46297,3.8177,)
98	31.7091	31.7091	(-2.02247,5.25535,)	(-2.02247,5.25535,)	(-2.02247,5.25535,)
99	33.8461	33.8461	(-5.18288,-2.64269,)	(-5.18288,-2.64269,)	(-5.18288,-2.64269,)
100	65.604	65.604	(-3.13088,7.47005,)	(-3.13088,7.47005,)	(-3.13088,7.47005,)
1	33.58	33.58	(3.92938,4.25911,)	(3.92938,4.25911,)	(3.92938,4.25911,)
2	20.3411	20.3411	(-4.27721,-1.43058,)	(-4.27721,-1.43058,)	(-4.27721,-1.43058,)
3	44.4189	44.4189	(-5.46297,3.8177,)	(-5.46297,3.8177,)	(-5.46297,3.8177,)
98	31.7091	31.7091	(-2.02247,5.25535,)	(-2.02247,5.25535,)	(-2.02247,5.25535,)
99	33.8461	33.8461	(-5.18288,-2.64269,)	(-5.18288,-2.64269,)	(-5.18288,-2.64269,)
100	65.604	65.604	(-3.13088,7.47005,)	(-3.13088,7.47005,)	(-3.13088,7.47005,)
1	33.58	33.58	(3.92938,4.25911,)	(3.92938,4.25911,)	(3.92938,4.25911,)
2	20.3411	20.3411	(-4.27721,-1.43058,)	(-4.27721,-1.43058,)	(-4.27721,-1.43058,)
3	44.4189	44.4189	(-5.46297,3.8177,)	(-5.46297,3.8177,)	(-5.46297,3.8177,)
98	31.7091	31.7091	(-2.02247,5.25535,)	(-2.02247,5.25535,)	(-2.02247,5.25535,)
99	33.8461	33.8461	(-5.18288,-2.64269,)	(-5.18288,-2.64269,)	(-5.18288,-2.64269,)
100	65.604	65.604	(-3.13088,7.47005,)	(-3.13088,7.47005,)	(-3.13088,7.47005,)
